timestamp	cohort	round	set	test_loss	test_acc	true_pos_rate	false_pos_rate
12:37	cohort3	0	0	0	0	0	0
17:53	cohort3	1	1	1.0294	0.6556	0.7778	0.2222
19:35	cohort3	1	2	0.8291	0.7556	0.8667	0.1333
21:13	cohort3	1	3	0.9592	0.7778	0.8222	0.1778
22:53	cohort3	1	4	0.6582	0.8667	0.8222	0.1778
00:10	cohort3	1	5	0.6564	0.8667	0.8222	0.1778
01:04	cohort3	1	6	0.6436	0.8667	0.8444	0.1556
02:09	cohort3	1	7	0.6327	0.8222	0.8667	0.1333
03:14	cohort3	1	8	0.5407	0.8222	0.8667	0.1333
04:07	cohort3	1	9	0.6225	0.8556	0.9111	0.0889
04:58	cohort3	1	10	0.5973	0.8444	0.9111	0.0889
10:46	cohort3	2	1	0.5734	0.8556	0.8667	0.1333
11:42	cohort3	2	2	0.6093	0.8444	0.8444	0.1556
13:12	cohort3	2	3	0.7442	0.7778	0.8444	0.1556
14:30	cohort3	2	4	0.5897	0.8444	0.8889	0.1111
15:44	cohort3	2	5	0.5248	0.8889	0.8667	0.1333
17:00	cohort3	2	6	0.5541	0.8778	0.8889	0.1111
17:50	cohort3	2	7	0.5866	0.8667	0.8667	0.1556
18:56	cohort3	2	8	0.6427	0.8444	0.9111	0.0889
20:06	cohort3	2	9	0.538	0.9	0.9111	0.1333
21:09	cohort3	2	10	0.458	0.8889	0.9556	0.0667
22:16	cohort3	3	1	0.4321	0.8778	0.9556	0.0667
23:00	cohort3	3	2	0.4457	0.8889	0.9333	0.0667
23:19	cohort3	3	3	0.4959	0.8778	0.9333	0.0889
23:48	cohort3	3	4	0.4669	0.8778	0.9333	0.0667
00:07	cohort3	3	5	0.4555	0.9	0.9333	0.0667
00:44	cohort3	3	6	0.4575	0.9	0.9556	0.0667
01:06	cohort3	3	7	0.4647	0.8889	0.9333	0.0667
01:25	cohort3	3	8	0.414	0.8667	0.9333	0.0667
01:46	cohort3	3	9	0.4568	0.8778	0.9111	0.0889
02:05	cohort3	3	10	0.4293	0.9	0.9333	0.0667
14:06	cohort3	4	1	0.2294	0.9667	0.9778	0.0222
14:37	cohort3	4	2	0.255	0.9667	0.9778	0.0222
15:28	cohort3	4	3	0.2304	0.9556	1	0
16:13	cohort3	4	4	0.2134	0.9778	0.9778	0.0222
16:37	cohort3	4	5	0.1884	0.9889	1	0
17:18	cohort3	4	6	0.1992	0.9889	1	0
17:53	cohort3	4	7	0.2399	0.9667	0.9778	0.0222
18:16	cohort3	4	8	0.1958	0.9778	1	0
19:00	cohort3	4	9	0.2002	0.9778	1	0
19:24	cohort3	4	10	0.1872	0.9778	1	0
08:14	cohort3	5	1	0.2055	0.9778	1	0
08:35	cohort3	5	2	0.1911	0.9778	1	0
08:59	cohort3	5	3	0.1758	0.9778	1	0
09:26	cohort3	5	4	0.1868	0.9889	1	0
09:58	cohort3	5	5	0.1939	0.9889	1	0
11:08	cohort3	5	6	0.2037	0.9889	0.9778	0.0222
12:01	cohort3	5	7	0.1947	0.9889	1	0
12:33	cohort3	5	8	0.1783	0.9889	1	0
13:01	cohort3	5	9	0.1878	0.9889	1	0
13:29	cohort3	5	10	0.1881	0.9889	1	0
