timestamp	cohort	round	set	test_loss	test_acc	true_pos_rate	false_pos_rate
23:36	cohort1	0	0	0	0	0	0
02:42	cohort1	1	1	1.2707	0.7182	0.9455	0.2545
03:59	cohort1	1	2	1.036	0.7545	0.9636	0.2364
04:55	cohort1	1	3	1.0456	0.7545	0.9636	0.2364
06:05	cohort1	1	4	0.9748	0.8	0.9636	0.2364
07:16	cohort1	1	5	0.9059	0.8	0.9273	0.2727
08:11	cohort1	1	6	0.878	0.8636	0.9636	0.2364
09:10	cohort1	1	7	1.0385	0.8545	0.9636	0.2364
10:10	cohort1	1	8	0.8548	0.8545	0.9636	0.2364
11:02	cohort1	1	9	0.8782	0.8727	0.9818	0.2182
11:59	cohort1	1	10	0.9018	0.8909	0.9818	0.2909
00:46	cohort1	2	1	0.8085	0.8273	0.9636	0.2545
01:33	cohort1	2	2	0.8154	0.8182	0.9818	0.2182
02:48	cohort1	2	3	0.9712	0.8818	0.9818	0.2182
03:37	cohort1	2	4	0.959	0.8545	0.9818	0.2182
04:38	cohort1	2	5	0.8504	0.8636	0.9818	0.2182
05:22	cohort1	2	6	0.8876	0.8727	0.9818	2.1091
06:16	cohort1	2	7	0.9186	0.8091	0.9818	2.1091
07:02	cohort1	2	8	0.732	0.8636	0.9818	0.2182
08:26	cohort1	2	9	1.098	0.8273	0.9636	0.2364
09:34	cohort1	2	10	0.8577	0.9	0.9636	2.1273
02:57	cohort1	3	1	0.8728	0.8182	0.9818	0.2182
03:22	cohort1	3	2	0.8402	0.8364	0.9636	0.2545
04:05	cohort1	3	3	0.827	0.8636	0.9636	0.2364
04:24	cohort1	3	4	0.8134	0.8818	0.9636	0.2545
04:49	cohort1	3	5	0.7736	0.8727	0.9818	0.2182
05:16	cohort1	3	6	0.8708	0.8727	0.9636	0.2364
05:52	cohort1	3	7	0.8508	0.8909	0.9818	0.2182
06:11	cohort1	3	8	0.7952	0.8818	0.9636	0.2364
06:39	cohort1	3	9	0.9264	0.8636	0.9636	0.2727
07:22	cohort1	3	10	0.7511	0.8909	0.9636	0.2364
21:02	cohort1	4	1	0.4107	0.9182	1	0.2
21:21	cohort1	4	2	0.4467	0.9	1	0.2
21:47	cohort1	4	3	0.3668	0.9364	1	0.2
22:22	cohort1	4	4	0.3987	0.9273	1	0.2
22:54	cohort1	4	5	0.3327	0.9455	1	0.2
23:24	cohort1	4	6	0.3312	0.9182	1	0.2364
23:42	cohort1	4	7	0.3546	0.9091	1	0.2182
00:06	cohort1	4	8	0.3665	0.9364	1	0.2182
00:30	cohort1	4	9	0.3036	0.9455	1	0.2
00:59	cohort1	4	10	0.2933	0.9455	1	0.2
03:06	cohort1	5	1	0.2835	0.9455	1	3.9818
03:34	cohort1	5	2	0.3025	0.9545	1	0.2
04:18	cohort1	5	3	0.2585	0.9545	1	0.2
04:40	cohort1	5	4	0.2799	0.9455	1	0.2
05:13	cohort1	5	5	0.2583	0.9455	1	0.2
05:52	cohort1	5	6	0.2378	0.9636	1	0.2182
06:25	cohort1	5	7	0.2714	0.9545	1	2.0909
06:47	cohort1	5	8	0.3172	0.9455	1	2.0909
07:20	cohort1	5	9	0.2523	0.9636	1	2.1273
07:50	cohort1	5	10	0.2729	0.9364	1	0.2182
